 1	0.000000	3.000000	0.384615	-10.362732	0.000000	0.000000	0.000000
 2	0.384615	3.000000	0.719921	-10.451300	0.335306	7.800000	-1.005399
 3	0.719921	3.000000	1.012239	-9.962377	0.292318	0.465753	0.888447
 4	1.012239	3.000000	1.267080	-8.689476	0.254841	0.288783	0.899642
 5	1.267080	3.000000	1.489249	-6.570331	0.222169	0.201125	0.908795
 6	1.489249	3.000000	1.682935	-3.661175	0.193686	0.149182	0.916418
 7	1.682935	3.000000	1.851790	-0.092890	0.168854	0.115088	0.922865
 8	1.851790	3.000000	1.998996	3.968906	0.147206	0.091184	0.928389
 9	1.851790	1.998996	1.870662	0.374982	-0.128334	0.073640	0.933174
10	1.851790	1.870662	1.854209	-0.033732	-0.016453	-0.068603	0.499878
11	1.854209	1.870662	1.856319	0.018039	0.002109	-0.008873	0.666612
12	1.854209	1.856319	1.854480	-0.027105	-0.001839	0.001136	0.978217
13	1.854480	1.856319	1.854715	-0.021325	0.000236	-0.000992	0.754076
14	1.854715	1.856319	1.854921	-0.016284	0.000206	0.000127	0.983839
15	1.854921	1.856319	1.855100	-0.011888	0.000179	0.000111	0.984096
16	1.855100	1.856319	1.855256	-0.008055	0.000156	0.000097	0.984345
17	1.855256	1.856319	1.855393	-0.004712	0.000136	0.000084	0.984587
18	1.855393	1.856319	1.855511	-0.001797	0.000119	0.000073	0.984821
19	1.855511	1.856319	1.855615	0.000744	0.000104	0.000064	0.985048
20	1.855511	1.855615	1.855525	-0.001471	-0.000090	0.000056	0.985268
21	1.855525	1.855615	1.855536	-0.001187	0.000012	-0.000049	0.819294
22	1.855536	1.855615	1.855546	-0.000940	0.000010	0.000006	0.988074
23	1.855546	1.855615	1.855555	-0.000724	0.000009	0.000005	0.988215
24	1.855555	1.855615	1.855563	-0.000536	0.000008	0.000005	0.988352
25	1.855563	1.855615	1.855569	-0.000371	0.000007	0.000004	0.988486
26	1.855569	1.855615	1.855575	-0.000228	0.000006	0.000004	0.988617
27	1.855575	1.855615	1.855580	-0.000104	0.000005	0.000003	0.988745
28	1.855580	1.855615	1.855585	0.000005	0.000004	0.000003	0.988870
29	1.855580	1.855585	1.855581	-0.000090	-0.000004	0.000002	0.988993
30	1.855581	1.855585	1.855581	-0.000078	0.000000	-0.000002	0.858521
31	1.855581	1.855585	1.855582	-0.000067	0.000000	0.000000	0.990639
32	1.855582	1.855585	1.855582	-0.000058	0.000000	0.000000	0.990725
33	1.855582	1.855585	1.855583	-0.000050	0.000000	0.000000	0.990811
34	1.855583	1.855585	1.855583	-0.000043	0.000000	0.000000	0.990894
35	1.855583	1.855585	1.855583	-0.000037	0.000000	0.000000	0.990977
36	1.855583	1.855585	1.855583	-0.000031	0.000000	0.000000	0.991057
37	1.855583	1.855585	1.855583	-0.000027	0.000000	0.000000	0.991137
38	1.855583	1.855585	1.855584	-0.000023	0.000000	0.000000	0.991214
39	1.855584	1.855585	1.855584	-0.000019	0.000000	0.000000	0.991291
40	1.855584	1.855585	1.855584	-0.000016	0.000000	0.000000	0.991366
41	1.855584	1.855585	1.855584	-0.000013	0.000000	0.000000	0.991440
42	1.855584	1.855585	1.855584	-0.000011	0.000000	0.000000	0.991513
43	1.855584	1.855585	1.855584	-0.000009	0.000000	0.000000	0.991584
44	1.855584	1.855585	1.855584	-0.000007	0.000000	0.000000	0.991654
45	1.855584	1.855585	1.855584	-0.000006	0.000000	0.000000	0.991723
