 1	0.000000	3.000000	0.759453	0.291530	0.000000	0.000000	0.000000
 2	0.000000	0.759453	0.192256	-0.632839	-0.567197	-3.950213	-1.937419
 3	0.192256	0.759453	0.335842	-0.378893	0.143586	-2.950213	0.292170
 4	0.335842	0.759453	0.443080	-0.198976	0.107237	0.427541	0.869266
 5	0.443080	0.759453	0.523170	-0.069469	0.080090	0.242027	0.884381
 6	0.523170	0.759453	0.582985	0.024756	0.059815	0.153086	0.896363
 7	0.523170	0.582985	0.538312	-0.045420	-0.044673	0.102602	0.906095
 8	0.538312	0.582985	0.549621	-0.027547	0.011309	-0.082987	0.693503
 9	0.549621	0.582985	0.558067	-0.014247	0.008446	0.020576	0.938859
10	0.558067	0.582985	0.564375	-0.004340	0.006308	0.015135	0.942381
11	0.564375	0.582985	0.569086	0.003044	0.004711	0.011177	0.945520
12	0.564375	0.569086	0.565568	-0.002470	-0.003518	0.008278	0.948335
13	0.565568	0.569086	0.566459	-0.001073	0.000891	-0.006221	0.804404
14	0.566459	0.569086	0.567124	-0.000031	0.000665	0.001572	0.960099
15	0.567124	0.569086	0.567621	0.000748	0.000497	0.001173	0.961630
16	0.567124	0.567621	0.567250	0.000167	-0.000371	0.000875	0.963048
17	0.567124	0.567250	0.567156	0.000019	-0.000094	-0.000654	0.851852
18	0.567124	0.567156	0.567132	-0.000018	-0.000024	-0.000166	0.870968
19	0.567132	0.567156	0.567138	-0.000008	0.000006	-0.000042	0.885714
20	0.567138	0.567156	0.567142	-0.000001	0.000004	0.000011	0.976293
21	0.567142	0.567156	0.567146	0.000004	0.000003	0.000008	0.976842
22	0.567142	0.567146	0.567143	-0.000000	-0.000003	0.000006	0.977366
23	0.567143	0.567146	0.567144	0.000001	0.000001	-0.000004	0.903730
24	0.567143	0.567144	0.567143	0.000000	-0.000000	0.000001	0.979955
25	0.567143	0.567143	0.567143	-0.000000	-0.000000	-0.000001	0.913792
